mun_code,mun_name,mun_name_simple,mun_id,reg_map,reg_name
3129608,"IBIAÍ",IBIAI,623,"NORTE DE MINAS","Norte de Minas"
3129657,IBIRACATU,IBIRACATU,624,"NORTE DE MINAS","Norte de Minas"
3130002,IBITURUNA,IBITURUNA,545,"OESTE DE MINAS","Centro Oeste"
3130507,"ILICÍNEA",ILICINEA,374,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3130556,"IMBÉ DE MINAS","IMBE DE MINAS",790,"VALE DO RIO DOCE","Rio Doce"
3130606,INCONFIDENTES,INCONFIDENTES,375,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3131505,"IPUIÚNA",IPUIUNA,377,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3132800,"ITAMBÉ DO MATO DENTRO","ITAMBE DO MATO DENTRO",71,"CENTRAL MINEIRA",Central
3133600,ITAPEVA,ITAPEVA,382,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3135001,"JAGUARAÇU",JAGUARACU,799,"VALE DO RIO DOCE","Rio Doce"
3135076,JAMPRUCA,JAMPRUCA,800,"VALE DO RIO DOCE","Rio Doce"
3135308,"JAPARAÍBA",JAPARAIBA,550,"OESTE DE MINAS","Centro Oeste"
3136108,"JOANÉSIA",JOANESIA,801,"VALE DO RIO DOCE","Rio Doce"
3136520,"JOSÉ GONÇALVES DE MINAS","JOSE GONCALVES DE MINAS",720,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3136579,"JOSENÓPOLIS",JOSENOPOLIS,634,"NORTE DE MINAS","Norte de Minas"
3136801,JURAMENTO,JURAMENTO,635,"NORTE DE MINAS","Norte de Minas"
3137536,"LAGOA GRANDE","LAGOA GRANDE",588,"NOROESTE DE MINAS","Noroeste de Minas"
3137908,LAMIM,LAMIM,214,"ZONA DA MATA",Mata
3138351,"LEME DO PRADO","LEME DO PRADO",722,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3138625,"LIMEIRA DO OESTE","LIMEIRA DO OESTE",479,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3138674,LUISBURGO,LUISBURGO,218,"ZONA DA MATA",Mata
3140159,"MÁRIO CAMPOS","MARIO CAMPOS",85,"CENTRAL MINEIRA",Central
3140530,"MARTINS SOARES","MARTINS SOARES",223,"ZONA DA MATA",Mata
3140555,"MATA VERDE","MATA VERDE",725,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3141306,MEDEIROS,MEDEIROS,555,"OESTE DE MINAS","Centro Oeste"
3144375,"NATALÂNDIA",NATALANDIA,589,"NOROESTE DE MINAS","Noroeste de Minas"
3144656,NINHEIRA,NINHEIRA,651,"NORTE DE MINAS","Norte de Minas"
3144672,"NOVA BELÉM","NOVA BELEM",813,"VALE DO RIO DOCE","Rio Doce"
3145356,"NOVO ORIENTE DE MINAS","NOVO ORIENTE DE MINAS",731,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3145851,"ORATÓRIOS",ORATORIOS,232,"ZONA DA MATA",Mata
3145877,"ORIZÂNIA",ORIZANIA,233,"ZONA DA MATA",Mata
3146503,PAINS,PAINS,559,"OESTE DE MINAS","Centro Oeste"
3146552,"PAI PEDRO","PAI PEDRO",656,"NORTE DE MINAS","Norte de Minas"
3147808,PASSA-VINTE,PASSA-VINTE,412,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3147956,PATIS,PATIS,657,"NORTE DE MINAS","Norte de Minas"
3148756,"PEDRA BONITA","PEDRA BONITA",238,"ZONA DA MATA",Mata
3149200,"PEDRINÓPOLIS",PEDRINOPOLIS,510,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
3150000,PESCADOR,PESCADOR,818,"VALE DO RIO DOCE","Rio Doce"
3150505,PIMENTA,PIMENTA,564,"OESTE DE MINAS","Centro Oeste"
3150570,"PINTÓPOLIS",PINTOPOLIS,659,"NORTE DE MINAS","Norte de Minas"
3150703,PIRAJUBA,PIRAJUBA,481,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3150901,"PIRANGUÇU",PIRANGUCU,415,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3157252,"SANTA BÁRBARA DO LESTE","SANTA BARBARA DO LESTE",824,"VALE DO RIO DOCE","Rio Doce"
3157377,"SANTA CRUZ DE SALINAS","SANTA CRUZ DE SALINAS",668,"NORTE DE MINAS","Norte de Minas"
3158409,"SANTANA DE CATAGUASES","SANTANA DE CATAGUASES",268,"ZONA DA MATA",Mata
3160504,"SANTO ANTÔNIO DO RIO ABAIXO","SANTO ANTONIO DO RIO ABAIXO",136,"CENTRAL MINEIRA",Central
3160900,"SÃO BRÁS DO SUAÇUÍ","SAO BRAS DO SUACUI",138,"CENTRAL MINEIRA",Central
3160959,"SÃO DOMINGOS DAS DORES","SAO DOMINGOS DAS DORES",830,"VALE DO RIO DOCE","Rio Doce"
3161056,"SÃO FÉLIX DE MINAS","SAO FELIX DE MINAS",831,"VALE DO RIO DOCE","Rio Doce"
3162252,"SÃO JOÃO DA LAGOA","SAO JOAO DA LAGOA",672,"NORTE DE MINAS","Norte de Minas"
3162450,"SÃO JOÃO DAS MISSÕES","SAO JOAO DAS MISSOES",674,"NORTE DE MINAS","Norte de Minas"
3162559,"SÃO JOÃO DO MANHUAÇU","SAO JOAO DO MANHUACU",276,"ZONA DA MATA",Mata
3162658,"SÃO JOÃO DO PACUÍ","SAO JOAO DO PACUI",675,"NORTE DE MINAS","Norte de Minas"
3162948,"SÃO JOSÉ DA BARRA","SAO JOSE DA BARRA",430,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3163201,"SÃO JOSÉ DO ALEGRE","SAO JOSE DO ALEGRE",431,"SUL/SUDOESTE DE MINAS","Sul de Minas"
